"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18"
187;7;5;4;4;6;5;4;3;4;5;4;5;3;5;3;5;3;5
188;3;3;5;4;4;4;5;3;5;5;4;5;5;4;3;4;3;3
189;5;4;3;3;6;5;5;6;4;8;4;6;3;5;4;4;4;6
190;5;6;4;4;7;6;6;4;4;6;6;5;5;6;3;6;4;6
191;7;6;4;4;6;4;4;4;4;6;6;6;4;7;3;4;3;6
192;4;4;6;3;8;6;4;6;8;6;4;7;4;4;6;7;3;3
193;5;6;6;4;6;4;6;3;4;5;5;4;3;4;4;5;4;6
194;5;5;4;3;7;4;4;3;4;4;6;6;5;6;3;4;6;6
195;6;7;7;4;5;3;6;3;4;5;6;3;3;4;3;4;3;4
196;5;6;7;3;7;4;8;4;5;5;7;4;5;5;5;5;3;5
197;4;8;6;3;4;3;5;3;4;6;6;4;3;4;3;5;5;3
198;4;6;6;3;7;4;4;3;6;6;6;5;3;5;4;6;3;5
199;5;4;4;5;6;5;4;4;5;6;6;5;4;8;3;6;3;4
200;4;4;5;3;5;5;4;3;4;5;3;5;3;4;3;5;4;4
201;4;4;4;3;5;4;4;3;4;5;3;7;5;4;3;5;3;4
202;4;5;6;3;6;3;5;3;4;4;4;4;3;4;3;3;3;5
203;4;4;4;4;6;4;7;3;4;6;6;5;3;3;5;5;4;4
204;6;6;6;4;6;4;6;3;4;6;7;4;3;3;4;4;4;5
205;5;5;4;4;5;3;5;3;4;6;5;4;4;4;4;4;3;5
206;5;7;4;3;6;4;6;5;6;6;5;5;4;6;3;5;3;4
207;5;3;3;4;6;5;4;3;4;6;4;7;4;6;4;5;4;5
208;5;7;5;5;6;5;5;3;6;4;5;6;3;7;6;5;7;3
209;3;4;3;3;6;4;6;3;5;7;4;3;3;4;4;5;3;6
210;5;4;6;5;7;4;6;4;4;5;6;4;3;4;3;5;3;5
211;6;5;4;5;6;5;5;4;5;5;6;6;6;4;3;5;3;5
212;5;3;5;3;6;6;6;3;3;7;5;4;3;5;4;6;6;4
213;4;5;5;5;6;5;4;4;4;5;6;5;4;5;5;5;4;4
214;5;4;4;4;5;4;4;3;4;4;4;4;6;5;3;4;3;5
215;5;8;6;4;7;4;4;3;4;6;4;4;3;4;4;5;3;4
216;5;4;4;3;5;5;3;3;4;8;3;4;3;5;3;4;4;4
217;5;5;4;5;8;4;3;4;5;6;4;4;5;4;4;7;3;4
218;4;5;3;3;8;3;5;3;4;5;3;5;3;4;3;5;3;6
219;5;6;5;3;5;4;4;3;4;4;5;5;3;5;4;4;3;7
220;5;5;4;3;7;4;3;4;6;7;5;6;5;5;3;4;6;4
221;5;4;5;4;7;5;5;4;5;6;6;6;5;6;3;5;3;4
222;5;4;5;5;7;5;6;6;4;5;6;5;4;5;3;5;3;6
223;3;4;6;3;6;5;5;3;4;7;5;5;3;7;3;5;3;5
224;6;6;5;4;6;6;6;3;4;6;7;5;4;4;4;4;4;6
225;4;4;4;5;4;4;4;4;4;5;4;5;3;4;3;4;3;4
226;4;5;8;4;6;4;4;3;4;7;5;5;3;4;3;5;4;4
227;5;3;3;4;6;4;4;3;4;6;4;6;3;5;4;5;4;4
228;5;4;4;4;6;5;4;3;5;5;4;4;4;3;4;4;3;5
229;4;5;6;5;6;5;5;4;4;5;6;5;4;5;5;5;4;5
230;4;6;5;4;6;6;4;5;5;7;5;5;3;6;3;3;3;4
231;7;8;4;3;7;5;6;3;5;6;6;5;6;4;3;6;4;5
232;4;3;4;3;5;4;5;5;5;5;5;5;6;3;4;4;6;5
233;4;4;3;3;7;4;3;3;4;4;5;6;4;6;3;4;6;6
234;4;5;5;3;6;5;3;4;4;7;5;6;3;6;3;6;4;6
235;6;4;4;3;6;4;4;3;4;6;5;6;3;4;6;4;3;5
236;3;5;3;4;5;5;4;3;4;5;5;5;4;5;3;4;3;3
237;5;5;4;5;8;4;3;4;5;7;4;4;5;4;4;7;3;4
238;4;5;4;4;6;3;6;3;4;6;6;4;3;4;4;6;4;5
239;4;3;7;3;5;6;4;5;5;8;4;5;4;5;3;4;3;5
240;5;6;4;3;8;3;5;3;4;5;3;5;3;4;3;5;3;6
241;4;3;4;3;3;5;5;3;5;6;5;6;4;5;3;5;6;7
242;4;4;4;4;7;4;6;3;5;5;6;5;4;4;3;4;3;4
243;4;4;7;3;7;4;5;3;5;6;5;3;3;5;5;6;3;4
244;4;4;4;4;9;4;8;3;5;5;3;3;4;3;4;5;3;4
245;3;4;5;3;5;5;3;4;4;6;3;5;3;8;3;4;3;5
246;3;3;4;3;4;6;5;4;4;5;4;6;4;5;3;4;3;5
247;5;6;6;4;6;4;4;3;5;5;5;5;3;4;4;5;3;5
248;5;6;5;4;7;5;4;4;5;7;6;6;5;30;3;5;3;6
249;3;3;4;3;7;5;5;3;4;7;4;5;3;5;3;4;3;6
250;5;5;4;4;5;4;5;4;4;6;5;5;5;5;4;4;3;6
251;4;5;6;4;6;3;4;3;4;5;4;3;3;5;3;5;4;4
252;4;4;5;4;5;4;3;3;4;6;4;5;3;4;4;4;4;6
253;5;5;4;3;9;6;5;3;5;5;7;7;4;5;4;5;3;5
254;3;5;5;5;5;5;4;3;4;4;4;5;3;4;4;5;4;5
255;3;3;3;4;6;3;7;3;5;6;5;5;3;4;4;5;3;4
256;4;5;7;4;6;4;4;4;4;6;5;5;3;5;3;5;4;3
257;4;7;4;3;8;5;4;4;5;6;5;6;4;6;3;7;3;5
258;5;6;4;4;5;4;4;5;5;5;4;5;4;5;4;5;4;4
259;4;4;5;4;6;4;5;3;4;7;4;6;6;6;4;6;3;7
260;4;7;4;4;5;5;4;3;4;6;9;7;4;6;4;5;3;4
261;4;5;5;4;7;4;4;3;5;7;5;5;4;9;3;5;3;5
262;4;4;4;4;7;5;6;6;5;7;6;6;4;6;4;5;3;7
263;4;4;4;5;6;7;6;4;4;6;5;7;4;5;4;6;4;7
264;5;5;5;3;6;4;4;6;5;6;7;5;3;4;3;5;3;5
265;4;3;7;4;6;5;3;3;5;7;5;6;4;6;3;5;4;7
266;4;5;7;4;6;5;4;4;4;7;6;6;4;5;3;5;4;5
267;5;5;4;4;5;6;4;3;5;7;5;5;3;3;4;5;3;4
268;5;5;5;3;6;4;5;4;4;5;4;6;5;5;3;6;3;5
269;4;3;4;6;6;6;5;3;5;7;7;5;3;7;3;5;4;5
270;3;4;3;4;5;5;5;3;4;6;4;5;3;5;3;4;3;5
271;4;4;4;4;6;3;7;3;5;6;6;5;3;4;4;5;3;4
272;7;4;8;5;9;5;4;4;4;7;5;4;3;3;3;4;6;6
273;6;8;4;7;4;5;7;3;5;8;6;5;4;7;4;8;5;6
274;8;4;7;4;5;3;5;3;7;4;8;5;3;3;3;5;4;5
275;4;4;8;3;6;4;4;4;4;5;6;5;3;4;4;6;4;4
276;4;3;5;4;6;5;7;3;5;6;5;5;5;5;7;5;3;33
277;4;5;3;3;5;5;4;3;4;7;6;7;4;4;4;4;3;4
278;4;4;4;4;6;5;4;4;4;30;5;5;3;5;3;4;4;6
279;3;5;7;3;6;4;5;3;5;7;6;5;3;4;4;5;4;4
280;4;5;4;3;7;7;4;3;6;5;5;5;3;5;3;6;3;5
281;4;3;3;4;6;5;4;5;4;6;4;4;4;5;3;3;4;5
282;3;5;3;4;5;5;6;3;6;7;3;3;3;5;3;4;3;5
283;4;4;5;4;6;4;4;3;4;8;4;6;4;6;3;6;3;7
284;4;5;4;4;6;4;6;4;4;6;7;5;4;5;4;6;4;6
285;3;3;3;3;5;3;5;3;4;5;5;5;3;3;4;4;4;4
286;4;5;5;3;4;6;5;4;6;5;4;5;5;6;3;5;4;5
287;6;6;5;4;7;5;5;5;4;6;5;5;3;6;4;5;3;9
288;4;6;6;5;6;4;6;3;6;4;5;5;3;6;6;5;8;3
289;3;3;8;3;6;3;5;3;5;7;5;6;3;7;3;6;3;4
290;5;5;4;4;6;4;4;4;4;5;4;5;4;4;5;4;3;7
291;3;5;4;4;5;4;6;3;4;5;5;4;3;4;3;4;3;3
292;4;3;4;5;7;5;6;6;4;5;5;5;4;5;3;5;3;6
293;3;4;3;4;8;5;3;3;7;4;4;6;3;4;3;5;3;5
294;5;4;5;4;5;4;6;3;4;5;4;6;4;4;3;4;3;4
295;4;4;5;3;4;6;5;4;4;5;4;6;4;5;3;4;3;5
296;5;4;6;4;7;4;5;3;5;6;6;5;4;5;3;5;3;3
297;4;6;6;3;8;6;4;3;5;7;5;7;3;5;4;4;5;7
298;4;5;6;3;6;5;5;3;4;7;5;5;4;7;4;5;3;4
299;5;4;5;5;6;5;5;4;5;5;6;5;4;8;3;6;3;6
300;4;5;3;3;5;6;4;3;4;4;5;5;5;4;3;4;3;4
301;4;3;4;3;6;6;4;4;5;7;5;5;3;5;3;6;3;5
302;3;3;5;3;5;7;5;3;5;7;4;4;3;4;3;5;3;4
303;3;3;4;3;5;4;5;4;4;5;4;5;3;5;4;5;4;5
304;6;6;4;4;6;6;4;3;4;6;6;5;4;4;4;4;4;4
305;4;4;4;3;6;3;4;3;5;5;4;4;3;4;4;5;4;3
306;3;3;3;4;7;5;6;3;5;5;6;6;4;5;3;4;3;5
307;5;4;4;4;5;4;4;3;4;4;4;4;6;5;3;4;3;5
308;3;5;4;4;5;4;6;3;4;5;6;4;3;4;3;4;3;3
309;4;4;3;3;5;5;4;3;5;5;4;5;3;4;4;4;4;5
310;5;4;6;4;6;3;5;3;4;7;4;3;3;4;3;5;3;5
311;4;4;3;4;5;6;3;4;4;6;6;5;4;4;4;7;3;4
312;4;3;3;4;7;6;4;5;7;7;4;7;3;5;3;4;5;7
313;3;4;4;4;6;4;3;4;4;6;4;4;3;6;3;5;4;5
314;5;4;8;4;6;5;4;3;5;6;6;6;5;6;3;5;4;7
315;4;3;3;3;4;5;4;3;4;5;5;5;5;7;4;4;3;4
316;5;5;5;4;7;5;6;6;5;7;7;6;4;6;4;5;3;7
317;4;6;4;3;6;5;4;3;4;7;5;6;4;5;4;5;4;5
318;5;4;7;4;6;4;7;3;5;6;5;4;4;4;7;5;3;9
319;7;6;5;4;5;6;5;4;6;6;6;6;3;5;5;4;3;5
320;5;5;8;3;7;4;5;3;5;6;6;3;3;5;5;6;3;4
321;3;5;5;5;6;4;5;3;5;5;4;5;3;4;4;8;6;5
322;5;4;5;3;5;5;6;4;7;6;6;6;6;6;4;5;4;5
323;5;5;4;4;5;3;5;3;4;6;6;4;4;4;4;4;3;5
324;5;5;4;3;7;4;3;3;4;6;5;4;3;5;3;5;4;4
325;6;4;3;4;6;5;3;3;4;6;4;5;3;5;3;5;3;5
326;4;4;4;3;4;6;4;4;4;5;4;6;4;5;3;4;3;4
327;3;4;5;3;6;5;3;4;5;7;5;6;3;5;3;4;4;9
328;5;3;6;5;6;3;5;3;4;6;5;5;3;5;3;5;3;4
329;5;6;6;4;7;4;4;3;5;7;6;5;4;9;3;5;3;5
330;3;5;5;4;5;6;5;5;3;6;3;4;4;3;3;4;4;5
331;4;4;3;4;6;3;4;3;4;6;3;5;3;4;4;4;4;4
332;5;5;5;3;7;4;4;4;6;7;6;6;5;5;3;4;6;6
333;4;6;5;4;7;5;4;3;4;6;6;5;4;5;4;4;4;4
334;6;5;6;4;6;5;5;3;4;6;5;5;3;6;5;4;3;4
335;5;4;4;3;6;6;4;3;3;6;4;6;3;5;3;5;6;5
336;6;8;4;7;4;5;7;3;5;8;7;5;4;7;4;8;5;6
337;4;3;4;4;5;4;4;4;4;5;5;5;3;4;4;5;4;6
338;4;4;6;3;7;5;5;4;5;6;5;4;3;6;5;6;3;5
339;3;5;6;3;5;5;3;4;4;5;3;5;4;8;3;4;3;5
340;4;5;5;3;4;7;7;3;5;6;6;6;3;4;3;5;5;5
341;3;4;3;4;8;5;4;3;7;4;4;6;4;4;3;5;3;5
342;5;4;6;4;6;3;6;4;4;5;5;4;5;4;4;7;4;7
343;5;5;5;4;6;4;5;6;5;6;6;5;4;5;3;4;4;6
344;4;4;6;4;7;5;4;3;5;6;3;7;5;4;4;4;3;4
345;4;5;6;4;6;5;4;6;4;6;6;8;3;6;5;4;5;5
346;5;5;5;5;8;4;4;4;5;6;4;4;5;4;4;7;3;6
347;7;4;4;5;8;4;6;4;6;6;7;8;3;5;4;7;5;5
348;7;4;6;4;6;4;5;3;4;4;6;5;3;5;3;4;3;3
349;5;6;4;4;6;5;4;4;5;8;5;4;4;8;4;6;4;4
350;5;3;4;3;6;4;4;3;4;7;5;6;3;4;4;4;3;7
